VendorNumber,Ukprn,Date,ContractNumber,BudgetGroup,Description,Amount
P0001234,90000000,18/12/2025,ASCA-1662,Non-Procured Adult Skills Fund,Funding for innovative provision profile December 2025,7827.53
P0001234,90000000,18/12/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for adult skills profile December 2025,240045.03
P0001234,90000000,18/12/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for tailored learning profile December 2025,13045.95
P0001234,90000000,18/12/2025,ASFC-1470,Non-Procured Free Courses for Job,Free courses for jobs profile December 2025,21278.74
P0001234,90000000,18/11/2025,ASCA-1662,Non-Procured Adult Skills Fund,Funding for innovative provision profile November 2025,7827.53
P0001234,90000000,18/11/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for adult skills profile November 2025,240045.03
P0001234,90000000,18/11/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for tailored learning profile November 2025,13045.95
P0001234,90000000,18/11/2025,ASFC-1470,Non-Procured Free Courses for Job,Free courses for jobs profile November 2025,21278.74
P0001234,90000000,17/10/2025,ASCA-1662,Non-Procured Adult Skills Fund,Funding for innovative provision profile October 2025,7827.53
P0001234,90000000,17/10/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for tailored learning profile October 2025,13045.95
P0001234,90000000,17/10/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for adult skills profile October 2025,240045.03
P0001234,90000000,17/10/2025,ASFC-1470,Non-Procured Free Courses for Job,Free courses for jobs profile October 2025,21278.74
P0001234,90000000,18/09/2025,ASCA-1662,Non-Procured Adult Skills Fund,Funding for innovative provision profile September 2025,7827.53
P0001234,90000000,18/09/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for adult skills profile September 2025.,240045.03
P0001234,90000000,18/09/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for tailored learning profile September 2025,13045.95
P0001234,90000000,18/09/2025,ASFC-1470,Non-Procured Free Courses for Job,Free courses for jobs profile September 2025,21278.74
P0001234,90000000,18/08/2025,ASCA-1662,Non-Procured Adult Skills Fund,Funding for innovative provision profile August 2025,7855.72
P0001234,90000000,18/08/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for adult skills profile August 2025,240909.53
P0001234,90000000,18/08/2025,ASCA-1662,Non-Procured Adult Skills Fund,Profiled adult skills fund for tailored learning profile August 2025,13092.93
P0001234,90000000,18/08/2025,ASFC-1470,Non-Procured Free Courses for Job,Free courses for jobs profile August 2025,21355.37
