UKPRN,Funding reference,Funding  period,Total funding (£),Funding line name,Funding line total (£),Distribution period: August 2025 (£),Distribution period: September 2025  (£),Distribution period: October 2025  (£),Distribution period: November 2025  (£),Distribution period: December 2025  (£),Distribution period: January 2026  (£),Distribution period: February 2026  (£),Distribution period: March 2026 (£),Distribution period: April 2026 (£),Distribution period: May 2026 (£),Distribution period: June 2026 (£),Distribution period: July 2026 (£)
900000000,Adult skills fund,Academic year 2025 to 2026,"189,120.00",Adult skills core,1433,26731.02,26635.09,26635.09,26635.09,26635.09,26635.09,26635.09,26667.07,26635.09,26635.09,26635.09,26635.1
,,,,Tailored learning,86686,5013.58,4995.58,4995.58,4995.58,4995.58,4995.58,4995.58,5001.58,4995.58,4995.58,4995.58,4995.62
,,,,Innovative funding,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Free courses for jobs,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Adult skills core,45158,3763.4,3763.35,3763.35,3763.35,3763.35,3763.35,3763.35,3763.79,3762.79,3762.79,3762.79,3762.79
,,,,Adult skills core - learner support,4842,403.55,402.55,402.55,402.55,402.55,402.55,402.55,402.55,403.55,403.45,403.45,403.45
,,,,Free courses for jobs,49500,4127.2,4125.15,4125.15,4125.15,4125.15,4125.15,4125.15,4125.15,4127.2,4125.15,4125.15,4125.15
,,,,Free courses for jobs - learner support,500,42.1,41.66,41.66,41.66,41.66,41.66,41.66,41.66,42.1,41.66,41.66,41.66
,,,,Continuing learners in newly devolved areas - adult skills core (indicative),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Continuing learners in newly devolved areas - adult skills core (indicative),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Continuing learners in newly devolved areas - tailored learning (indicative),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Continuing learners in newly devolved areas - free courses for jobs (indicative),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Continuing learners in newly devolved areas - free courses for jobs (indicative),1001,84.21,83.21,83.21,83.21,83.21,83.21,83.21,84.21,83.21,83.21,83.21,83.21
